university,thCode,enCode
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๒,สอฉ. ๒,IVENE 2
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๓,สอฉ. ๓,IVENE 3
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๔,สอฉ. ๔,IVENE 4
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๕,สอฉ. ๕,IVENE 5
โรงเรียนนายร้อยตำรวจ,รร.นรต.,RPCA
โรงเรียนนายร้อยพระจุลจอมเกล้า,รร.จปร.,CRMA
โรงเรียนนายเรือ,รร.นร.,RTNA
โรงเรียนนายเรืออากาศนวมินทกษัตริยาธิราช,รร.นนก.,NKRAFA
สถาบันเทคโนโลยีจิตรลดา,,
วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,วพม.,PCM
วิทยาลัยการชลประทาน,วชป.,
สถาบันการบินพลเรือน,สบพ.,CATC
สถาบันการพลศึกษา,สพล.,IPE
สถาบันบัณฑิตพัฒนศิลป์,BPI,
สถาบันพระบรมราชชนก,สบช.,PI
ศูนย์ฝึกพาณิชย์นาวี,MMTC,
จุฬาลงกรณ์มหาวิทยาลัย,จุฬาฯ,CU
มหาวิทยาลัยนวมินทราธิราช,นมร.,NMU
มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,มจร,MCU
มหาวิทยาลัยมหามกุฏราชวิทยาลัย,มมร,MBU
มหาวิทยาลัยแม่โจ้,มมจ.,MJU
มหาวิทยาลัยศรีนครินทรวิโรฒ,มศว,SWU
มหาวิทยาลัยสงขลานครินทร์,ม.อ.,PSU
ราชวิทยาลัยจุฬาภรณ์,CRA,
มหาวิทยาลัยการจัดการและเทคโนโลยีอีสเทิร์น,มจท.,UMT
มหาวิทยาลัยเกริก,มกร.,KRU
มหาวิทยาลัยคริสเตียน,มคต.,CTU
มหาวิทยาลัยเฉลิมกาญจนา,มฉน.,CNU
มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก,มนอ.,AIU
มหาวิทยาลัยปทุมธานี,มปท.,PTU
มหาวิทยาลัยฟาร์อีสเทอร์น,มฟอ.,FEU
มหาวิทยาลัยภาคตะวันออกเฉียงเหนือ,มภน.,NEU
มหาวิทยาลัยเว็บสเตอร์ (ประเทศไทย),มวท.,WTUT
มหาวิทยาลัยหาดใหญ่,มหญ.,HU
มหาวิทยาลัยอีสเทิร์นเอเชีย,มอท.,EAU
มหาวิทยาลัยเอเชียอาคเนย์,มออ.,SAU
สถาบันกันตนา,สก.,KI
สถาบันการจัดการปัญญาภิวัฒน์,สกป.,PIM
สถาบันวิทยาการจัดการแห่งแปซิฟิค,สวป.,PIMS
สถาบันรัชต์ภาคย์,สรภ.,RPI
สถาบันวิทยสิริเมธี,สวส.,VISTEC
สถาบันอาศรมศิลป์,สอศ.,ASIA
วิทยาลัยเฉลิมกาญจนาระยอง,วฉก.,CKC
วิทยาลัยเชียงราย,ว.ชร.,CRC
วิทยาลัยเซนต์หลุยส์,วซล.,SLC
วิทยาลัยเซาธ์อีสท์บางกอก,ว.ซอบ.,SBC
วิทยาลัยเทคโนโลยีจิตรลดา,วทจด.,CDTC
วิทยาลัยนานาชาติเซนต์เทเรซา,วนซท.,STIC
วิทยาลัยบัณฑิตเอเซีย,วบอ.,CAS
วิทยาลัยพิชญบัณฑิต,วพบ.,PCBC
วิทยาลัยพุทธศาสนานานาชาติ,วพน.,IBC
วิทยาลัยแสงธรรม,วสธ.,STC
วิทยาลัยอินเตอร์เทคลำปาง,วอล.,LIT
มหาวิทยาลัยโยนก,มยน.,YNU
วิทยาลัยศรีโสภณ,ว.ศส.,SSC
มหาวิทยาลัยอีสาน,ม.อส.,ESU
มหาวิทยาลัยเอเชียน,ม.เอเชียน,AsianU
มหาวิทยาลัยรัตนบัณฑิตวิทยาศาสตร์และเทคโนโลยี,มรวท.,RUST
